base_id;category;base_name;unit;price;dealer_price;weight_kg;qty_per_cycle;mold_id;gost_mark;article;mix_main_tpl;mix_face_tpl;item_type;amortization_per_cycle;new_name;new_price;new_dealer_price;new_article;default_warehouse_id
487;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Меланж Гладкий Яшма;шт;1100.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-487;main_bor_mag;face_mel_sm_jasper;product;0.00;Бордюр магистральный 1000х300х180 Меланж Гладкий Яшма 2 сорт;550.0;0.0;PL-4872S;5
496;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Меланж Гранит Оникс;шт;1200.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-496;main_bor_mag;face_mel_gr_onyx;product;0.00;Бордюр магистральный 1000х300х180 Меланж Гранит Оникс 2 сорт;600.0;0.0;PL-4962S;5
497;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Меланж Гранит Осень;шт;1200.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-497;main_bor_mag;face_mel_gr_autumn;product;0.00;Бордюр магистральный 1000х300х180 Меланж Гранит Осень 2 сорт;600.0;0.0;PL-4972S;5
498;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Меланж Гранит Рубин;шт;1200.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-498;main_bor_mag;face_mel_gr_ruby;product;0.00;Бордюр магистральный 1000х300х180 Меланж Гранит Рубин 2 сорт;600.0;0.0;PL-4982S;5
500;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Меланж Гранит Янтарь;шт;1200.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-500;main_bor_mag;face_mel_gr_amber;product;0.00;Бордюр магистральный 1000х300х180 Меланж Гранит Янтарь 2 сорт;600.0;0.0;PL-5002S;5
499;Бордюры и поребрики;Бордюр магистральный 1000х300х180 Меланж Гранит Яшма;шт;1200.00;0.00;120.000000;3.0000;22;ТУ 23.61.11-003-50829991-2023;PL-499;main_bor_mag;face_mel_gr_jasper;product;0.00;Бордюр магистральный 1000х300х180 Меланж Гранит Яшма 2 сорт;600.0;0.0;PL-4992S;5
432;Бордюры и поребрики;Поребрик газонный 1000х200х80 Гладкий Черный;шт;440.00;0.00;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023;PL-432;main_por;face_smooth_black;product;0.00;Поребрик газонный 1000х200х80 Гладкий Черный 2 сорт;220.0;0.0;PL-4322S;5
445;Бордюры и поребрики;Поребрик газонный 1000х200х80 Гранит Белый;шт;520.00;660.00;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023;PL-445;main_por;face_granite_white;product;0.00;Поребрик газонный 1000х200х80 Гранит Белый 2 сорт;260.0;330.0;PL-4452S;5
446;Бордюры и поребрики;Поребрик газонный 1000х200х80 Гранит Желтый;шт;520.00;0.00;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023;PL-446;main_por;face_granite_yellow;product;0.00;Поребрик газонный 1000х200х80 Гранит Желтый 2 сорт;260.0;0.0;PL-4462S;5
442;Бордюры и поребрики;Поребрик газонный 1000х200х80 Гранит Красный;шт;520.00;0.00;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023;PL-442;main_por;face_granite_red;product;0.00;Поребрик газонный 1000х200х80 Гранит Красный 2 сорт;260.0;0.0;PL-4422S;5
447;Бордюры и поребрики;Поребрик газонный 1000х200х80 Гранит Оранжевый;шт;520.00;0.00;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023;PL-447;main_por;face_granite_orange;product;0.00;Поребрик газонный 1000х200х80 Гранит Оранжевый 2 сорт;260.0;0.0;PL-4472S;5
441;Бордюры и поребрики;Поребрик газонный 1000х200х80 Гранит Серый;шт;470.00;660.00;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023;PL-441;main_por;face_granite_grey;product;0.00;Поребрик газонный 1000х200х80 Гранит Серый 2 сорт;235.0;330.0;PL-4412S;5
444;Бордюры и поребрики;Поребрик газонный 1000х200х80 Гранит Черный;шт;520.00;0.00;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023;PL-444;main_por;face_granite_black;product;0.00;Поребрик газонный 1000х200х80 Гранит Черный 2 сорт;260.0;0.0;PL-4442S;5
436;Бордюры и поребрики;Поребрик газонный 1000х200х80 Меланж Гладкий Оникс;шт;660.00;0.00;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023;PL-436;main_por;face_mel_sm_onyx;product;0.00;Поребрик газонный 1000х200х80 Меланж Гладкий Оникс 2 сорт;330.0;0.0;PL-4362S;5
438;Бордюры и поребрики;Поребрик газонный 1000х200х80 Меланж Гладкий Рубин;шт;660.00;0.00;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023;PL-438;main_por;face_mel_sm_ruby;product;0.00;Поребрик газонный 1000х200х80 Меланж Гладкий Рубин 2 сорт;330.0;0.0;PL-4382S;5
440;Бордюры и поребрики;Поребрик газонный 1000х200х80 Меланж Гладкий Янтарь;шт;660.00;0.00;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023;PL-440;main_por;face_mel_sm_amber;product;0.00;Поребрик газонный 1000х200х80 Меланж Гладкий Янтарь 2 сорт;330.0;0.0;PL-4402S;5
439;Бордюры и поребрики;Поребрик газонный 1000х200х80 Меланж Гладкий Яшма;шт;660.00;0.00;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023;PL-439;main_por;face_mel_sm_jasper;product;0.00;Поребрик газонный 1000х200х80 Меланж Гладкий Яшма 2 сорт;330.0;0.0;PL-4392S;5
450;Бордюры и поребрики;Поребрик газонный 1000х200х80 Меланж Гранит Рубин;шт;750.00;0.00;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023;PL-450;main_por;face_mel_gr_ruby;product;0.00;Поребрик газонный 1000х200х80 Меланж Гранит Рубин 2 сорт;375.0;0.0;PL-4502S;5
452;Бордюры и поребрики;Поребрик газонный 1000х200х80 Меланж Гранит Янтарь;шт;750.00;0.00;36.110000;9.0000;20;ТУ 23.61.11-003-50829991-2023;PL-452;main_por;face_mel_gr_amber;product;0.00;Поребрик газонный 1000х200х80 Меланж Гранит Янтарь 2 сорт;375.0;0.0;PL-4522S;5
217;Плитка гладкая;Тротуарная плитка КВАДРАТ - 2.К.4 40мм Гладкая Белая;кв.м;950.00;855.00;90.280000;0.8000;8;ТУ 23.61.11-001-50829991-2023;PL-217;main_tile_40;face_smooth_white;product;25.00;Тротуарная плитка КВАДРАТ - 2.К.4 40мм Гладкая Белая 2 сорт;475.0;427.5;PL-2172S;5
214;Плитка гладкая;Тротуарная плитка КВАДРАТ - 2.К.4 40мм Гладкая Красная;кв.м;950.00;1350.00;90.280000;0.8000;8;ТУ 23.61.11-001-50829991-2023;PL-214;main_tile_40;face_smooth_red;product;0.00;Тротуарная плитка КВАДРАТ - 2.К.4 40мм Гладкая Красная 2 сорт;475.0;675.0;PL-2142S;5
